"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"3139","TEKNISI PROSES KONTROL YTDL","531","16"
"314","TEKNISI ILMU HAYATI DAN ASISTEN PROFESIONAL YBDI","532","16"
"3141","TEKNISI ILMU HAYATI (SELAIN KEDOKTERAN)","532","16"
"3142","TEKNISI PERTANIAN","536","16"
"3143","TEKNISI KEHUTANAN","539","16"
"315","PENGAWAS DAN TEKNISI KAPAL DAN PESAWAT UDARA","542","16"
"3151","TEKNISI KAPAL","542","16"
"3152","NAKHODA DAN PERWIRA GELADAK KAPAL","543","16"
"3153","PILOT DAN PROFESIONAL YBDI","544","16"
"3154","PENGAWAS LALU LINTAS UDARA","548","16"
"3155","TEKNISI PERANGKAT ELEKTRONIK KESELAMATAN LALU LINTAS UDARA","549","16"
"32","ASISTEN PROFESIONAL KESEHATAN","550","17"
"321","TEKNISI MEDIS DAN FARMASI","551","17"
"3211","TEKNISI PERALATAN PEREKAM MEDIS DAN TERAPEUTIK","551","17"
"3212","TEKNISI LABORATORIUM MEDIS DAN PATOLOGI","555","17"
"3213","TEKNISI FARMASI DAN ASISTEN APOTEKER","557","17"
"3214","TEKNISI PROSTETIK MEDIS DAN GIGI","559","17"
"322","ASISTEN PROFESIONAL KEPERAWATAN DAN KEBIDANAN","562","17"
"3221","ASISTEN PROFESIONAL KEPERAWATAN","562","17"
"3222","ASISTEN PROFESIONAL KEBIDANAN","565","17"
"323","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","567","17"
"3230","ASISTEN PROFESIONAL PENGOBATAN TRADISIONAL DAN KOMPLEMENTER","568","17"
"324","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","571","17"
"3240","TEKNISI DAN ASISTEN KEDOKTERAN HEWAN","571","17"
"325","ASISTEN PROFESIONAL KESEHATAN LAINNYA","574","17"
"3251","ASISTEN DAN TERAPIS GIGI","575","17"
"3252","TEKNISI INFORMASI KESEHATAN DAN REKAM MEDIS","577","17"
"3253","PEKERJA KESEHATAN MASYARAKAT","578","17"
"3254","OPTISIEN","580","17"
"3255","TEKNISI DAN ASISTEN FISIOTERAPI","582","17"
"3256","ASISTEN MEDIS","586","17"
"3257","ASISTEN DAN PENGAWAS KESEHATAN LINGKUNGAN DAN PEKERJAAN","588","17"
"3258","PEKERJA AMBULANS","590","17"
"3259","ASISTEN PROFESIONAL KESEHATAN YTDL","592","17"
"33","ASISTEN PROFESIONAL BISNIS DAN ADMINISTRASI","594","17"
