"halaman_pdf","alasan","teks"
"177","teks_miring_watermark","https://www.bps.go.id"
"178","margin_kepala_kaki","146  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"178","teks_miring_watermark","https://www.bps.go.id"
"179","margin_kepala_kaki","Manajer  |  147"
"179","teks_miring_watermark","https://www.bps.go.id"
"180","margin_kepala_kaki","148  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"180","teks_miring_watermark","https://www.bps.go.id"
"181","margin_kepala_kaki","Manajer  |  149"
"181","teks_miring_watermark","https://www.bps.go.id"
"182","margin_kepala_kaki","150  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"182","teks_miring_watermark","https://www.bps.go.id"
"183","margin_kepala_kaki","Manajer  |  151"
"183","teks_miring_watermark","https://www.bps.go.id"
"184","margin_kepala_kaki","152  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"184","teks_miring_watermark","https://www.bps.go.id"
"185","margin_kepala_kaki","Manajer  |  153"
"185","teks_miring_watermark","https://www.bps.go.id"
"186","margin_kepala_kaki","154  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"186","teks_miring_watermark","https://www.bps.go.id"
"187","margin_kepala_kaki","Manajer  |  155"
"187","teks_miring_watermark","https://www.bps.go.id"
"188","margin_kepala_kaki","156  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"188","teks_miring_watermark","https://www.bps.go.id"
"189","margin_kepala_kaki","Manajer  |  157"
"189","teks_miring_watermark","https://www.bps.go.id"
"190","margin_kepala_kaki","158  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"190","teks_miring_watermark","https://www.bps.go.id"
"191","margin_kepala_kaki","Manajer  |  159"
"191","teks_miring_watermark","https://www.bps.go.id"
"192","margin_kepala_kaki","160  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"192","teks_miring_watermark","https://www.bps.go.id"
"193","margin_kepala_kaki","Manajer  |  161"
"193","teks_miring_watermark","https://www.bps.go.id"
"194","margin_kepala_kaki","162  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"194","teks_miring_watermark","https://www.bps.go.id"
"195","margin_kepala_kaki","Manajer  |  163"
"195","teks_miring_watermark","https://www.bps.go.id"
"196","margin_kepala_kaki","164  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"196","teks_miring_watermark","https://www.bps.go.id"
"197","margin_kepala_kaki","Manajer  |  165"
"197","teks_miring_watermark","https://www.bps.go.id"
"198","margin_kepala_kaki","166  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"198","teks_miring_watermark","https://www.bps.go.id"
"199","margin_kepala_kaki","Manajer  |  167"
"199","teks_miring_watermark","https://www.bps.go.id"
"200","margin_kepala_kaki","168  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"200","teks_miring_watermark","https://www.bps.go.id"
"201","margin_kepala_kaki","Manajer  |  169"
"201","teks_miring_watermark","https://www.bps.go.id"
"202","margin_kepala_kaki","170  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"202","teks_miring_watermark","https://www.bps.go.id"
"203","margin_kepala_kaki","Manajer  |  171"
"203","teks_miring_watermark","https://www.bps.go.id"
"204","margin_kepala_kaki","172  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"204","teks_miring_watermark","https://www.bps.go.id"
"205","margin_kepala_kaki","Manajer  |  173"
"205","teks_miring_watermark","https://www.bps.go.id"
"206","margin_kepala_kaki","174  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"206","teks_miring_watermark","https://www.bps.go.id"
"207","margin_kepala_kaki","Manajer  |  175"
"207","teks_miring_watermark","https://www.bps.go.id"
"208","margin_kepala_kaki","176  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"208","teks_miring_watermark","https://www.bps.go.id"
"209","margin_kepala_kaki","Manajer  |  177"
"209","teks_miring_watermark","https://www.bps.go.id"
"210","margin_kepala_kaki","178  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"210","teks_miring_watermark","https://www.bps.go.id"
"211","margin_kepala_kaki","Manajer  |  179"
"211","teks_miring_watermark","https://www.bps.go.id"
"212","margin_kepala_kaki","180  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"212","teks_miring_watermark","https://www.bps.go.id"
"213","margin_kepala_kaki","Manajer  |  181"
"213","teks_miring_watermark","https://www.bps.go.id"
"214","margin_kepala_kaki","182  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"214","teks_miring_watermark","https://www.bps.go.id"
"215","margin_kepala_kaki","Manajer  |  183"
"215","teks_miring_watermark","https://www.bps.go.id"
"216","margin_kepala_kaki","184  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"216","teks_miring_watermark","https://www.bps.go.id"
"217","margin_kepala_kaki","Manajer  |  185"
"217","teks_miring_watermark","https://www.bps.go.id"
"218","margin_kepala_kaki","186  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"218","teks_miring_watermark","https://www.bps.go.id"
"219","margin_kepala_kaki","Manajer  |  187"
"219","teks_miring_watermark","https://www.bps.go.id"
"220","margin_kepala_kaki","188  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"220","teks_miring_watermark","https://www.bps.go.id"
"221","margin_kepala_kaki","Manajer  |  189"
"221","teks_miring_watermark","https://www.bps.go.id"
"222","margin_kepala_kaki","190  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"222","teks_miring_watermark","https://www.bps.go.id"
"223","margin_kepala_kaki","Manajer  |  191"
"223","teks_miring_watermark","https://www.bps.go.id"
"224","margin_kepala_kaki","192  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"224","teks_miring_watermark","https://www.bps.go.id"
"225","margin_kepala_kaki","Manajer  |  193"
"225","teks_miring_watermark","https://www.bps.go.id"
"226","margin_kepala_kaki","194  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"226","teks_miring_watermark","https://www.bps.go.id"
"227","margin_kepala_kaki","Manajer  |  195"
"227","teks_miring_watermark","https://www.bps.go.id"
"228","margin_kepala_kaki","196  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"228","teks_miring_watermark","https://www.bps.go.id"
"229","margin_kepala_kaki","Manajer  |  197"
"229","teks_miring_watermark","https://www.bps.go.id"
"230","margin_kepala_kaki","198  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"230","teks_miring_watermark","https://www.bps.go.id"
"231","margin_kepala_kaki","Manajer  |  199"
"231","teks_miring_watermark","https://www.bps.go.id"
"232","margin_kepala_kaki","200  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"232","teks_miring_watermark","https://www.bps.go.id"
"233","margin_kepala_kaki","Manajer  |  201"
"233","teks_miring_watermark","https://www.bps.go.id"
"234","margin_kepala_kaki","202  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"234","teks_miring_watermark","https://www.bps.go.id"
"235","margin_kepala_kaki","Manajer  |  203"
"235","teks_miring_watermark","https://www.bps.go.id"
"236","margin_kepala_kaki","204  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"236","teks_miring_watermark","https://www.bps.go.id"
"237","margin_kepala_kaki","Manajer  |  205"
"237","teks_miring_watermark","https://www.bps.go.id"
"238","margin_kepala_kaki","206  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"238","teks_miring_watermark","https://www.bps.go.id"
"239","margin_kepala_kaki","Manajer  |  207"
"239","teks_miring_watermark","https://www.bps.go.id"
"240","margin_kepala_kaki","208  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"240","teks_miring_watermark","https://www.bps.go.id"
