"kode","ada_daftar_isi","ada_uraian","nama_daftar_isi","nama_uraian","nama_cocok","halaman_cetak_daftar_isi","halaman_cetak_uraian","halaman_cocok"
"1321","True","True","MANAJER MANUFAKTUR","MANAJER MANUFAKTUR","True","174","174","True"
"1322","True","True","MANAJER PERTAMBANGAN DAN PENGGALIAN","MANAJER PERTAMBANGAN DAN PENGGALIAN","True","177","177","True"
"1323","True","True","MANAJER KONSTRUKSI","MANAJER KONSTRUKSI","True","179","179","True"
"1324","True","True","MANAJER PENGADAAN, DISTRIBUSI, DAN YBDI","MANAJER PENGADAAN, DISTRIBUSI, DAN YBDI","True","180","180","True"
"133","True","True","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","185","185","True"
"1330","True","True","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","MANAJER LAYANAN TEKNOLOGI INFORMASI DAN KOMUNIKASI","True","185","185","True"
"134","True","True","MANAJER JASA PROFESIONAL","MANAJER JASA PROFESIONAL","True","190","190","True"
"1341","True","True","MANAJER JASA PENITIPAN ANAK","MANAJER JASA PENITIPAN ANAK","True","190","190","True"
"1342","True","True","MANAJER JASA KESEHATAN","MANAJER JASA KESEHATAN","True","191","191","True"
"1343","True","True","MANAJER JASA PERAWATAN LANJUT USIA","MANAJER JASA PERAWATAN LANJUT USIA","True","194","194","True"
"1344","True","True","MANAJER KESEJAHTERAAN SOSIAL","MANAJER KESEJAHTERAAN SOSIAL","True","197","197","True"
"1345","True","True","MANAJER PENDIDIKAN","MANAJER PENDIDIKAN","True","200","200","True"
"1346","True","True","MANAJER JASA KEUANGAN DAN ASURANSI","MANAJER JASA KEUANGAN DAN ASURANSI","True","205","205","True"
"1349","True","True","MANAJER JASA PROFESIONAL LAINNYA","MANAJER JASA PROFESIONAL LAINNYA","True","208","208","True"
"14","True","True","MANAJER JASA PERHOTELAN, PERDAGANGAN, DAN JASA LAINNYA","MANAJER JASA PERHOTELAN, PERDAGANGAN, DAN JASA LAINNYA","True","212","212","True"
"141","True","True","MANAJER HOTEL DAN PENYEDIAAN MAKANAN DAN MINUMAN","MANAJER HOTEL DAN PENYEDIAAN MAKANAN DAN MINUMAN","True","212","212","True"
"1411","True","True","MANAJER HOTEL","MANAJER HOTEL","True","213","213","True"
"1412","True","True","MANAJER PENYEDIAAN MAKANAN DAN MINUMAN","MANAJER PENYEDIAAN MAKANAN DAN MINUMAN","True","215","215","True"
"142","True","True","MANAJER PERDAGANGAN BESAR DAN ECERAN","MANAJER PERDAGANGAN BESAR DAN ECERAN","True","217","217","True"
"1420","True","True","MANAJER PERDAGANGAN BESAR DAN ECERAN","MANAJER PERDAGANGAN BESAR DAN ECERAN","True","218","218","True"
"143","True","True","MANAJER JASA LAINNYA","MANAJER JASA LAINNYA","True","220","220","True"
"1431","True","True","MANAJER PUSAT OLAHRAGA, REKREASI, DAN BUDAYA","MANAJER PUSAT OLAHRAGA, REKREASI, DAN BUDAYA","True","220","220","True"
"1439","True","True","MANAJER JASA LAINNYA YTDL","MANAJER JASA LAINNYA YTDL","True","223","223","True"
"2","True","True","PROFESIONAL","PROFESIONAL","True","231","231","True"
"21","True","True","AHLI ILMU PENGETAHUAN DAN TEKNIK","AHLI ILMU PENGETAHUAN DAN TEKNIK","True","231","231","True"
"211","True","True","AHLI FISIKA DAN ILMU BUMI","AHLI FISIKA DAN ILMU BUMI","True","232","232","True"
"2111","True","True","AHLI FISIKA DAN ASTRONOMI","AHLI FISIKA DAN ASTRONOMI","True","233","233","True"
"2112","True","True","AHLI METEOROLOGI DAN KLIMATOLOGI","AHLI METEOROLOGI DAN KLIMATOLOGI","True","237","237","True"
"2113","True","True","AHLI KIMIA","AHLI KIMIA","True","239","239","True"
"2114","True","True","AHLI GEOLOGI DAN GEOFISIKA","AHLI GEOLOGI DAN GEOFISIKA","True","242","242","True"
"212","True","True","AHLI MATEMATIKA, AKTUARIA, DAN STATISTIKA","AHLI MATEMATIKA, AKTUARIA, DAN STATISTIKA","True","245","245","True"
"2120","True","True","AHLI MATEMATIKA, AKTUARIA, DAN STATISTIKA","AHLI MATEMATIKA, AKTUARIA, DAN STATISTIKA","True","246","246","True"
"213","True","True","AHLI ILMU PENGETAHUAN HAYATI","AHLI ILMU PENGETAHUAN HAYATI","True","249","249","True"
"2131","True","True","AHLI BIOLOGI, BOTANI, ZOOLOGI, DAN YBDI","AHLI BIOLOGI, BOTANI, ZOOLOGI, DAN YBDI","True","250","250","True"
"2132","True","True","PENASIHAT PERTANIAN, KEHUTANAN, DAN PERIKANAN","PENASIHAT PERTANIAN, KEHUTANAN, DAN PERIKANAN","True","256","256","True"
"2133","True","True","AHLI PERLINDUNGAN LINGKUNGAN","AHLI PERLINDUNGAN LINGKUNGAN","True","260","260","True"
"214","True","True","AHLI TEKNIK (SELAIN AHLI TEKNOLOGI ELEKTRO)","AHLI TEKNIK (SELAIN AHLI TEKNOLOGI ELEKTRO)","True","267","267","True"
"2141","True","True","AHLI TEKNIK INDUSTRI DAN PRODUKSI","AHLI TEKNIK INDUSTRI DAN PRODUKSI","True","267","267","True"
"2142","True","True","AHLI TEKNIK SIPIL","AHLI TEKNIK SIPIL","True","269","269","True"
"2143","True","True","AHLI TEKNIK LINGKUNGAN","AHLI TEKNIK LINGKUNGAN","True","273","273","True"
"2144","True","True","AHLI TEKNIK MEKANIKA","AHLI TEKNIK MEKANIKA","True","275","275","True"
"2145","True","True","AHLI TEKNIK KIMIA","AHLI TEKNIK KIMIA","True","279","279","True"
"2146","True","True","AHLI TEKNIK PERTAMBANGAN, METALURGI, DAN YBDI","AHLI TEKNIK PERTAMBANGAN, METALURGI, DAN YBDI","True","280","280","True"
"2149","True","True","AHLI TEKNIK LAINNYA YTDL","AHLI TEKNIK LAINNYA YTDL","True","284","284","True"
"215","True","True","AHLI TEKNIK TEKNOLOGI ELEKTRO","AHLI TEKNIK TEKNOLOGI ELEKTRO","True","289","289","True"
"2151","True","True","AHLI TEKNIK LISTRIK","AHLI TEKNIK LISTRIK","True","290","290","True"
"2152","True","True","AHLI TEKNIK ELEKTRONIK","AHLI TEKNIK ELEKTRONIK","True","291","291","True"
"2153","True","True","AHLI TEKNIK TELEKOMUNIKASI","AHLI TEKNIK TELEKOMUNIKASI","True","293","293","True"
"216","True","True","ARSITEK, PERENCANA, SURVEYOR, DAN DESAINER","ARSITEK, PERENCANA, SURVEYOR, DAN DESAINER","True","295","295","True"
"2161","True","True","ARSITEK BANGUNAN","ARSITEK BANGUNAN","True","296","296","True"
"2162","True","True","ARSITEK PERTAMANAN/LANSKAP","ARSITEK PERTAMANAN/LANSKAP","True","297","297","True"
