"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"8171","True","True","1013","1"
"8172","True","True","1015","1"
"8181","True","True","1017","1"
"8182","True","True","1020","1"
"8183","True","True","1023","1"
"8189","True","True","1024","1"
"8211","True","True","1026","1"
"8212","True","True","1028","1"
"8219","True","True","1030","1"
"8311","True","True","1034","1"
"8312","True","True","1035","1"
"8321","True","True","1037","1"
"8322","True","True","1039","1"
"8331","True","True","1040","1"
"8332","True","True","1041","1"
"8341","True","True","1043","1"
"8342","True","True","1045","1"
"8343","True","True","1049","1"
"8344","True","True","1051","1"
"8350","True","True","1052","1"
"9111","True","True","1058","1"
"9112","True","True","1059","1"
"9121","True","True","1062","1"
"9122","True","True","1063","1"
"9123","True","True","1064","1"
"9129","True","True","1064","1"
"9211","True","True","1067","1"
"9212","True","True","1070","1"
"9213","True","True","1071","1"
"9214","True","True","1072","1"
"9215","True","True","1073","1"
"9216","True","True","1074","1"
"9311","True","True","1076","1"
"9312","True","True","1077","1"
"9313","True","True","1078","1"
"9321","True","True","1080","1"
"9329","True","True","1082","1"
"9331","True","True","1084","1"
"9332","True","True","1085","1"
"9333","True","True","1086","1"
"9334","True","True","1088","1"
"9411","True","True","1089","1"
"9412","True","True","1090","1"
"9510","True","True","1094","1"
"9520","True","True","1096","1"
"9611","True","True","1098","1"
"9612","True","True","1099","1"
"9613","True","True","1101","1"
"9621","True","True","1102","1"
"9622","True","True","1103","1"
"9623","True","True","1104","1"
"9624","True","True","1105","1"
"9629","True","True","1106","1"
"0111.01","True","True","105","1"
"0111.02","True","True","106","1"
"0111.03","True","True","106","1"
"0111.04","True","True","106","1"
"0111.05","True","True","106","1"
"0111.06","True","True","107","1"
"0111.07","True","True","107","1"
"0111.08","True","True","107","1"
"0111.09","True","True","107","1"
"0111.10","True","True","108","1"
"0111.11","True","True","108","1"
"0111.12","True","True","108","1"
"0111.13","True","True","108","1"
"0111.14","True","True","109","1"
"0111.15","True","True","109","1"
"0111.16","True","True","109","1"
"0111.17","True","True","109","1"
"0111.18","True","True","110","1"
"0111.19","True","True","110","1"
"0111.20","True","True","110","1"
"0111.21","True","True","110","1"
"0111.22","True","True","111","1"
"0111.23","True","True","111","1"
"0111.24","True","True","111","1"
"0111.25","True","True","111","1"
"0111.26","True","True","111","1"
"0111.27","True","True","112","1"
"0111.28","True","True","112","1"
"0111.29","True","True","112","1"
"0111.30","True","True","112","1"
"0111.31","True","True","113","1"
"0111.32","True","True","113","1"
"0111.33","True","True","113","1"
"0111.34","True","True","113","1"
"0111.35","True","True","114","1"
"0111.36","True","True","114","1"
"0111.37","True","True","114","1"
"0111.38","True","True","114","1"
"0111.39","True","True","115","1"
"0111.40","True","True","115","1"
"0111.41","True","True","115","1"
"0111.42","True","True","115","1"
"0111.99","True","True","116","1"
"0112.01","True","True","116","1"
"0112.02","True","True","116","1"
"0112.03","True","True","117","1"
"0112.04","True","True","117","1"
"0112.05","True","True","117","1"
"0112.06","True","True","117","1"
"0112.07","True","True","118","1"
"0112.08","True","True","118","1"
"0112.09","True","True","118","1"
"0112.10","True","True","118","1"
"0112.11","True","True","119","1"
"0112.12","True","True","119","1"
"0112.13","True","True","119","1"
"0112.14","True","True","119","1"
"0112.15","True","True","119","1"
"0112.16","True","True","120","1"
"0112.17","True","True","120","1"
"0112.18","True","True","120","1"
"0112.19","True","True","120","1"
"0112.20","True","True","120","1"
"0112.21","True","True","121","1"
"0112.22","True","True","121","1"
"0112.23","True","True","121","1"
"0112.24","True","True","121","1"
"0112.25","True","True","122","1"
"0112.26","True","True","122","1"
"0112.27","True","True","122","1"
"0112.28","True","True","122","1"
"0112.29","True","True","122","1"
"0112.30","True","True","123","1"
"0112.31","True","True","123","1"
"0112.32","True","True","123","1"
"0112.33","True","True","123","1"
"0112.34","True","True","123","1"
"0112.35","True","True","124","1"
