"kode","kode_normalisasi","jumlah_digit","tingkat","kode_induk","nama_resmi","kode_golongan_pokok","nama_golongan_pokok","jalur_kode","kelompok_sisa","halaman_cetak_mulai"
"3354.01","335401","6","Jabatan","3354","PETUGAS PENERBIT PASPOR","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3354 > 3354.01","tidak","637"
"3354.02","335402","6","Jabatan","3354","PETUGAS PERIZINAN PENDIRIAN BANGUNAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3354 > 3354.02","tidak","637"
"3354.03","335403","6","Jabatan","3354","PETUGAS PERIZINAN USAHA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3354 > 3354.03","tidak","637"
"3354.99","335499","6","Jabatan","3354","PEGAWAI PEMERINTAH BIDANG PERIZINAN LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3354 > 3354.99","ya","637"
"3359","3359","4","Subgolongan","335","PROFESIONAL PEMERINTAHAN YTDL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359","ya","637"
"3359.01","335901","6","Jabatan","3359","PENGAWAS PERTANIAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.01","tidak","638"
"3359.02","335902","6","Jabatan","3359","PENGAWAS PERIKANAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.02","tidak","638"
"3359.03","335903","6","Jabatan","3359","PENGAWAS KEHUTANAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.03","tidak","639"
"3359.04","335904","6","Jabatan","3359","PENGAWAS HARGA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.04","tidak","639"
"3359.05","335905","6","Jabatan","3359","PENGAWAS KETENAGAKERJAAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.05","tidak","639"
"3359.99","335999","6","Jabatan","3359","PROFESIONAL PEMERINTAHAN YTDL LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 33 > 335 > 3359 > 3359.99","ya","640"
"34","34","2","Subgolongan pokok","3","ASISTEN PROFESIONAL HUKUM, SOSIAL, BUDAYA, DAN YBDI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34","tidak","640"
"341","341","3","Golongan","34","ASISTEN PROFESIONAL HUKUM, SOSIAL, DAN KEAGAMAAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341","tidak","640"
"3411","3411","4","Subgolongan","341","ASISTEN PROFESIONAL HUKUM DAN YBDI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411","tidak","641"
"3411.01","341101","6","Jabatan","3411","JURU SITA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.01","tidak","642"
"3411.02","341102","6","Jabatan","3411","PANITERA PENGADILAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.02","tidak","642"
"3411.03","341103","6","Jabatan","3411","PARALEGAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.03","tidak","642"
"3411.04","341104","6","Jabatan","3411","ASISTEN PENGACARA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.04","tidak","643"
"3411.05","341105","6","Jabatan","3411","DETEKTIF SWASTA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.05","tidak","643"
"3411.06","341106","6","Jabatan","3411","ASISTEN NOTARIS","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.06","tidak","643"
"3411.07","341107","6","Jabatan","3411","PETUGAS ADMINISTRASI HUKUM","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.07","tidak","644"
"3411.99","341199","6","Jabatan","3411","ASISTEN PROFESIONAL HUKUM DAN YBDI LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3411 > 3411.99","ya","644"
"3412","3412","4","Subgolongan","341","ASISTEN PROFESIONAL PEKERJAAN SOSIAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3412","tidak","644"
"3412.01","341201","6","Jabatan","3412","PEKERJA PENGEMBANGAN MASYARAKAT","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3412 > 3412.01","tidak","645"
"3412.02","341202","6","Jabatan","3412","PEKERJA PELAYANAN MASYARAKAT","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3412 > 3412.02","tidak","646"
"3412.99","341299","6","Jabatan","3412","ASISTEN PROFESIONAL PEKERJAAN SOSIAL LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3412 > 3412.99","ya","646"
"3413","3413","4","Subgolongan","341","ASISTEN PROFESIONAL KEAGAMAAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413","tidak","646"
"3413.01","341301","6","Jabatan","3413","PENASIHAT SPIRITUAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.01","tidak","647"
"3413.02","341302","6","Jabatan","3413","PENCERAMAH AGAMA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.02","tidak","647"
"3413.03","341303","6","Jabatan","3413","BIKSU","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.03","tidak","647"
"3413.04","341304","6","Jabatan","3413","BIARAWAN/BIARAWATI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.04","tidak","647"
"3413.05","341305","6","Jabatan","3413","PENATUA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.05","tidak","648"
"3413.06","341306","6","Jabatan","3413","KOSTER","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.06","tidak","648"
"3413.07","341307","6","Jabatan","3413","PEMUKA PENGHAYAT","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.07","tidak","648"
"3413.08","341308","6","Jabatan","3413","PENYULUH KEPERCAYAAN TERHADAP TUHAN YANG MAHA ESA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.08","tidak","648"
"3413.09","341309","6","Jabatan","3413","PENGELOLA TRADISI LISAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.09","tidak","648"
"3413.99","341399","6","Jabatan","3413","ASISTEN PROFESIONAL KEAGAMAAN LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 341 > 3413 > 3413.99","ya","649"
"342","342","3","Golongan","34","PEKERJA OLAHRAGA DAN KEBUGARAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342","tidak","649"
"3421","3421","4","Subgolongan","342","ATLET DAN OLAHRAGAWAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3421","tidak","649"
"3421.00","342100","6","Jabatan","3421","ATLET DAN OLAHRAGAWAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3421 > 3421.00","tidak","650"
"3422","3422","4","Subgolongan","342","PELATIH, INSTRUKTUR, DAN KRU OLAHRAGA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422","tidak","650"
"3422.01","342201","6","Jabatan","3422","PELATIH OLAHRAGA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.01","tidak","651"
"3422.02","342202","6","Jabatan","3422","WASIT ATAU JURI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.02","tidak","651"
"3422.03","342203","6","Jabatan","3422","PEMANDU BAKAT","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.03","tidak","652"
"3422.04","342204","6","Jabatan","3422","PENYULUH OLAHRAGA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.04","tidak","652"
"3422.05","342205","6","Jabatan","3422","PENDAMPING ATLET DISABILITAS DAN CLASSIFIER","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.05","tidak","652"
"3422.06","342206","6","Jabatan","3422","MARSHAL","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.06","tidak","653"
"3422.07","342207","6","Jabatan","3422","PENDAMPING OLAHRAGA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.07","tidak","653"
"3422.99","342299","6","Jabatan","3422","PELATIH, INSTRUKTUR, DAN KRU OLAHRAGA LAINNYA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3422 > 3422.99","ya","653"
"3423","3423","4","Subgolongan","342","INSTRUKTUR DAN PELATIH PROGRAM KEBUGARAN DAN REKREASI","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3423","tidak","653"
"3423.01","342301","6","Jabatan","3423","INSTRUKTUR KEBUGARAN","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3423 > 3423.01","tidak","654"
"3423.02","342302","6","Jabatan","3423","INSTRUKTUR BERKUDA","3","TEKNISI DAN ASISTEN PROFESIONAL","3 > 34 > 342 > 3423 > 3423.02","tidak","654"
